tweet_id,label
1149390095612555266,1
1104439603304546304,0
5886509017,0
1539809930,1
777843779021709312,0
775040061876436992,1
557156034792660992,0
984330315152969728,1
1084857501223399425,1
29541956533,0
244769192597917696,0
685457499785408512,0
78139384238575617,0
958272132022177792,1
810499108981112832,1
503085784950652929,0
567931831112368129,0
1240285310510141440,0
691506634619785216,0
448074853346971649,1
1321710066303684610,1
9617592785,0
595665036691054593,0
14603502051401728,0
572055484439519232,0
1289993283653918720,0
1240707134712467456,1
1017415264365731841,0
382483132244434944,0
434408076314042368,0
1280887286142558212,0
619210715497373697,0
650349328322723840,1
21888766240,0
749973337800007681,1
68333477837287425,0
833274893408018432,1
236147238081003521,1
1327109257544785920,0
376968940435406848,0
428141350480277506,1
235058689332092930,0
261418143912701952,0
533898002327273472,0
984322495951114240,0
1291166977982173198,0
1060472056062664706,0
602011336479010816,0
373339754613723136,0
264824853834657792,0
205006771922800643,0
1224446201690374150,0
590934804604067840,1
830439981533523969,0
1301075420482285568,0
797362518725455872,1
710931320138936320,0
1241479211753373697,1
383172510956920832,0
1264892201605238786,0
26810913915,0
164280739536449536,0
1045442300955037696,0
339381779108597760,0
827124289774161921,0
224097231240839168,0
141832359237525505,0
1130107657833078784,1
566232936815796224,1
841681184602112001,0
1284754222513364992,0
213214328818638848,0
296270682709446656,1
248707193073971201,1
832155811531124736,0
298460678795190272,0
1073855893786292224,0
1273489717665902592,0
1302648990392033281,0
31232762153279488,0
273408784406310914,0
724475204324438017,0
1315973521198194691,0
1318528473749704709,0
1315331873690783754,0
20115318030475264,0
843053280070684673,1
1329345860778356736,0
557751167162544128,0
29011203949,1
105477263717449728,0
727228976414892032,1
373443550337191937,1
1326287022429007877,0
1223272404400640001,1
750006938889400320,0
591198073847701504,0
392586100851879938,0
1307604114440945665,0
881462250816647168,0
1247487463792283649,1
1043811297580716033,0
301617087133126656,0
603888436056092672,0
1097413902059687936,1
135814746090901506,1
1136531772513095680,1
481146469597323264,0
1326458865328812033,1
204635244014477312,0
266202219194486785,0
155145847611457536,0
147793856707039232,1
639470142670438400,0
151652415161118720,0
460490674245476353,1
270639845926383619,0
22690754475,0
1236505508229636096,0
103250603240722432,0
1249720286557220864,0
547452068634828802,0
575272045136609280,0
288875503564255232,0
831383567242579969,0
461169760089419776,0
1249841260493451264,0
307096830565572609,0
182073749472944128,1
161065872390242304,0
1297166834752540673,0
1195268323329675265,0
562385567691055105,1
554647828640063488,0
1330054377491619843,0
423707591240593408,0
885983004337856516,1
151910213526618113,0
614324414226825216,1
1199266743602028544,0
258972806044327936,0
291918219629973506,0
187470093675016192,0
46190190934499328,0
873228791891492866,1
1309744344719556609,0
1036960717017153536,0
236347546421821440,0
1066619728339169281,0
825443130593927172,0
986251219739074560,1
108910672984809472,0
30919343705423872,0
308836079132348416,0
16423377567,0
1207537525155336192,0
867749303372173312,1
963096578943848450,0
211543604571803648,1
261171378093453313,0
816961086461247488,0
540597718843150336,0
1243987065060184064,0
6005321348,1
609257392912601089,1
178528643537059840,0
1327184019671412736,1
9929631406759936,0
241953789848977408,1
6208418478,0
840956136576692224,1
1233981707348566016,1
281434076253143040,0
168377547481034752,0
1063207184031469568,1
1265103928447897605,0
480334648795348992,0
858275807403401216,0
1290874406907117568,0
244742879711481856,1
1149009137495433217,0
844880014655049728,0
286801513676931073,1
1280876428792340482,0
281641955769847809,0
981865127665455104,0
109256157658484737,1
314840482314330113,0
673890878843437056,0
423706310610538496,1
1243073330040668160,0
847130628260839426,1
757392534305902592,0
433296972930641921,0
241953315351560192,0
704717684139827200,0
1281276888900608001,0
